'Aho'eitu,mythological king
Åsa Haraldsdóttir,legendary human figure
Šárka,legendary figure
Šassuratu,God
Ṛṣabhanātha,Tirthankara
Añjanā,God
Śakuni,character in the Mahabharata
Śakuntalā,character in the Mahabharata
Śalya,character in the Mahabharata
Śāntinātha,God
Śāntinātha,Tirthankara
Aaron,human biblical figure
Aaron,Book of Mormon character
Aśvatthāmā,character in the Mahabharata
Abaddon,angel in Judaism
Abaddon,angels in Christianity
Abaddon,biblical character
Abaddon,eschatological figure
Abagtha,human biblical figure
Abatur,religious character
Abda,human biblical figure
Abdeel,human biblical figure
Abdi,human biblical figure
Abdi,human biblical figure
Abdi,human biblical figure
"Abdi-el, son of Guni",human biblical figure
"Abdi, son of Malluch",human biblical figure
Abdiel,seraph
Abdiel,human biblical figure
Abdon,human biblical figure
Abdon,human biblical figure
Abdon,human biblical figure
Abednego,human biblical figure
Abel,human biblical figure
Abezethibou,fallen angel
Abhimanyu,legendary figure
Abhinandananātha,God
Abhinandananātha,Tirthankara
Abi-Albon,human biblical figure
Abiah,human biblical figure
Abiasaph,human biblical figure
Abiathar,human biblical figure
Abida,human biblical figure
Abidan,human biblical figure
Abiel,human biblical figure
Abiezek,human biblical figure
Abiezer,human biblical figure
Abiezer,human biblical figure
Abiezer,human biblical figure
Abigail,human biblical figure
Abigail,human biblical figure
Abihail,human biblical figure
Abihail,human biblical figure
Abihail,human biblical figure
Abihail,human biblical figure
Abihail,human biblical figure
Abihu,human biblical figure
Abihud,human biblical figure
Abijah,biblical character
Abijah,human biblical figure
Abijah,human biblical figure
Abijah,human biblical figure
Abijah,human biblical figure
Abijah,human biblical figure
Abijah,human biblical figure
Abimael,human biblical figure
Abimelech,human biblical figure
Abimelech,human biblical figure
Abinadab,human biblical figure
Abinadab of Kiriath-jearim,human biblical figure
Abinadi,Book of Mormon character
Abinadom,Book of Mormon character
Abinoam,human biblical figure
Abiram,human biblical figure
Abiram,human biblical figure
Abish,Lamanite
Abish,Book of Mormon character
Abishai,human biblical figure
Abishur,human biblical figure
Abital,human biblical figure
Abiud,human biblical figure
Abner,human biblical figure
Abra,human biblical figure
Abraham,human biblical figure
Absalom,human biblical figure
Abu Righal,legendary figure
Achaicus of Corinth,human biblical figure
Achan,human biblical figure
Achbor,human biblical figure
Achbor,human biblical figure
Achbor,human biblical figure
Achim,human biblical figure
Achinoam,human biblical figure
Achior,human biblical figure
Achish,human biblical figure
Achsah,human biblical figure
Ad,legendary figure
Adah,human biblical figure
Adah,human biblical figure
Adaiah,human biblical figure
Adaiah,human biblical figure
Adaiah,human biblical figure
Adaiah,human biblical figure
Adaiah,human biblical figure
Adaiah,human biblical figure
Adaiah,human biblical figure
Adam,protoplast
Adam,human biblical figure
Adam in Islam,prophet of Islam
Adam in Islam,protoplast
Adar,human biblical figure
Adbeel,human biblical figure
Addi,human biblical figure
Addon,biblical character
Adele,merfolk in a work of fiction
Adhiratha,character in the Mahabharata
Ādibuddha,Buddha
Adina,biblical character
Adinah,human biblical figure
Adinon the Asonite,human biblical figure
Admatha,human biblical figure
Admin,human biblical figure
Adna,biblical character
Adna,human biblical figure
Adnah,biblical character
Adnah,human biblical figure
Adonijah,human biblical figure
Adonijah,human biblical figure
Adonijah,human biblical figure
Adoniram,human biblical figure
Adonizedek,human biblical figure
Adriel,human biblical figure
Ae-oina Kamuy,protoplast
Čech,legendary progenitor
Čech,legendary figure
Aedis,human biblical figure
Aeneas,human biblical figure
Aengus,legendary figure
Aeshma,God
Afghana,legendary figure
Agag,human biblical figure
Aganippus,legendary figure
Agee,human biblical figure
Ægir,mythological king
Agloolik,mermaid
Aglovale,legendary figure
Agne,mythological king
Agnodice,legendary figure
Agnomain,legendary figure
Agravain,legendary figure
Agrippa Silvius,legendary human figure
Agrippine Sibyl,legendary figure
Agur,human biblical figure
Aha,Book of Mormon character
Ahah,Book of Mormon ruler
Ōhōri Tsuruhime,legendary figure
Ahasbai,human biblical figure
Ahasuerus,human biblical figure
Ahaziah,human biblical figure
Ahban,human biblical figure
Aher,human biblical figure
Ōhesoki,legendary human figure
Ahi,human biblical figure
Ahiam,human biblical figure
Ahiel,biblical character
Ahiel,human biblical figure
Ahiezer,human biblical figure
Ahiezer son of Shemaah of Gibeah,human biblical figure
Ahihud,human biblical figure
Ahijah,human biblical figure
Ahijah,human biblical figure
Ahijah,human biblical figure
Ahijah,human biblical figure
Ahijah,human biblical figure
Ahijah,human biblical figure
Ahijah,human biblical figure
Ahijah the Shilonite,human biblical figure
Ahikam,human biblical figure
Ahilawati,character in the Mahabharata
Ahilud,human biblical figure
Ahilud,human biblical figure
Ahimaaz,human biblical figure
Ahimaaz,human biblical figure
Ahimaaz,human biblical figure
Ahiman,human biblical figure
Ahiman,human biblical figure
Ahimelech,human biblical figure
Ahimelech,human biblical figure
Ahimelech,human biblical figure
Ahinadab,human biblical figure
Ahinoam,human biblical figure
Ahio,human biblical figure
Ahio,human biblical figure
Ahio,human biblical figure
Ahira,human biblical figure
Ahisamach,human biblical figure
Ahishahar,human biblical figure
Ahishar,human biblical figure
Ahitophel,human biblical figure
Ahitub,biblical character
Ahitub,human biblical figure
Ahitub,human biblical figure
Ahitub II,human biblical figure
Ahlai,human biblical figure
Ahlai,human biblical figure
Ahohi,human biblical figure
Aholibamah,human biblical figure
Ahumai,human biblical figure
Ahuzzam,human biblical figure
Ahuzzath,human biblical figure
Aiah,human biblical figure
Śikhaṇḍī,character in the Mahabharata
Ailill mac Máta,mythological king
Ailill mac Máta,legendary figure
Aiol,legendary figure
Aiolos,legendary progenitor
Aisha Bibi,legendary figure
Aiwass,God
Aja,Characters in the Ramayana
Ajah,human biblical figure
Aji,religious character
Ajitanātha,God
Akagashira,legendary human figure
Akan,human biblical figure
Aker,angels in Christianity
Akibeel,fallen angel
Akish,Jaredites
Akish,Book of Mormon character
Akkub,human biblical figure
Akkub,human biblical figure
Akkub,human biblical figure
Akkub,human biblical figure
Akshobhya,Buddha
Ōkume,legendary human figure
Akuro-ō,legendary human figure
Akuruō,legendary human figure
Akyl Karachach,legendary figure
Al-Walid ibn Mus'ab,legendary figure
Al-Yamani,religious character
Aladine,merfolk in a work of fiction
Élaine,legendary figure
Alan Gua,legendary human figure
Alana,merfolk in a work of fiction
Alaric,mythological king
Albion,protoplast
Albrecht Gessler,legendary figure
Aldar,legendary figure
Alemeth,human biblical figure
Alemeth,human biblical figure
Alexander,human biblical figure
Alexander,human biblical figure
Alexander the Coppersmith,human biblical figure
Alexander the Great in the Quran,Quranic character
Alf,mythological king
Alfred III of Mercia,legendary figure
Alli Raani,legendary figure
Allon,human biblical figure
Alma the Elder,Nephites
Alma the Elder,Book of Mormon character
"Alma, son of Alma",Book of Mormon character
Almodad,human biblical figure
Alobha,Kaurava
Alphaeus,human biblical figure
Alphaeus,human biblical figure
Alvah,human biblical figure
Alvan,human biblical figure
Alyosha Popovich,bogatyr
Amal,human biblical figure
Amalek,human biblical figure
Amaleki,Nephites
Amaleki,Book of Mormon character
Amaleki,Book of Mormon character
Amalickiah,Book of Mormon ruler
Amalivaca,legendary figure
Amaoshihito no Mikoto,legendary human figure
Amaoshio no mikoto,legendary human figure
Amariah,human biblical figure
Amariah,human biblical figure
Amariah,human biblical figure
Amariah,human biblical figure
Amariah,human biblical figure
Amariah,human biblical figure
Amariah,human biblical figure
